source_id,provider,pack_title,artist,source_url,license_id,license_name,license_status,commercial_use,modification_allowed,credit_required,preferred_credit,license_evidence,notes
TALLBEARD_MUSIC_LOOP_BUNDLE,Tallbeard Studios,Music Loop Bundle,Abstraction,https://tallbeard.itch.io/music-loop-bundle,CC0-1.0,CC0 1.0 Universal,Approved,Yes,Yes,No,Music by Abstraction - https://tallbeard.itch.io/music-loop-bundle,music/catalog/licenses/tallbeard-music-loop-bundle-license.txt,Source ZIP license permits commercial and noncommercial projects and modification.
TUNESTOGO_LIBRARY,TuneToGo,TuneToGo catalog,,https://tunestogo.net/,,,Pending,Unknown,Unknown,Unknown,,,Do not upload or ship until written terms are recorded for monetized Roblox use and any required editing.
